arrival_label,strategy,strategy_label,request_count,request_count_ci95,request_count_seed_n,mean_ttft_ms,mean_ttft_ms_ci95,mean_ttft_ms_seed_n,mean_e2e_ms,mean_e2e_ms_ci95,mean_e2e_ms_seed_n,p95_e2e_ms,p95_e2e_ms_ci95,p95_e2e_ms_seed_n,p99_e2e_ms,p99_e2e_ms_ci95,p99_e2e_ms_seed_n,mean_tpot_ms,mean_tpot_ms_ci95,mean_tpot_ms_seed_n,mean_throughput_tps,mean_throughput_tps_ci95,mean_throughput_tps_seed_n,cache_hit_ratio,cache_hit_ratio_ci95,cache_hit_ratio_seed_n,prefix_hit_ratio,prefix_hit_ratio_ci95,prefix_hit_ratio_seed_n,mean_bandwidth_bytes,mean_bandwidth_bytes_ci95,mean_bandwidth_bytes_seed_n,mean_vram_peak_gb,mean_vram_peak_gb_ci95,mean_vram_peak_gb_seed_n,privacy_exposure_rate,privacy_exposure_rate_ci95,privacy_exposure_rate_seed_n,mean_quality,mean_quality_ci95,mean_quality_seed_n
arrival_high,cloud_only,Cloud-only,400.0,0.0,5,1277.704342477915,272.10478155931696,5,2421.16630789921,286.13686377470964,5,5011.506657681599,447.5768725352272,5,5660.427450444625,812.7483497023533,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
arrival_high,edge_only,Edge-only,400.0,0.0,5,16605.14748298427,3006.6312493793616,5,18515.968441113666,3036.681337823771,5,31777.51520626885,5693.660414006804,5,33666.81718138357,5107.469151943829,5,14.705882352941178,3.8202776601146675e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,3.788131286621094,0.004107118403701665,5,0.0,0.0,5,0.8262776500000001,0.0028021462409296796,5
arrival_high,ours,Ours,400.0,0.0,5,457.7487591219325,47.38706067283763,5,1295.8772282122304,56.8146141917591,5,3418.096665583267,245.90144714424255,5,4651.915374204136,355.77929260374424,5,6.313468552171993,0.29244337528690284,5,1169.7431931310962,63.421535407784894,5,0.414,0.0225559466629904,5,0.483,0.02753794092078493,5,1505.391,255.39342195831688,5,0.702728054046631,0.1709146815405517,5,0.0,0.0,5,0.9068814985,0.010532789964678742,5
arrival_high,static_threshold,Static-threshold,400.0,0.0,5,8965.3504044094,1514.2886907015356,5,10592.255952501624,1539.6951815930856,5,30519.13416428699,5601.937280465184,5,32696.835474063537,5120.0272696941265,5,12.315446517590086,0.11793959604219989,5,87.322,0.9223649842123877,5,0.0,0.0,5,0.0,0.0,5,1164.7559999999999,70.52048459947784,5,2.316368277587891,0.0726896564925721,5,0.0,0.0,5,0.8658436989999998,0.004264715066581994,5
arrival_low,cloud_only,Cloud-only,400.0,0.0,5,872.874271948113,99.10684433554476,5,2016.3362373694079,110.46762153333447,5,4511.048468267401,119.05927790107202,5,4962.084757203935,315.88335541819976,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
arrival_low,edge_only,Edge-only,400.0,0.0,5,1579.400729844634,160.83762111302443,5,3490.2216879740276,185.68456394294918,5,7176.690688357165,409.00678143509634,5,8183.34248769948,302.0328887831647,5,14.705882352941178,3.8202776601146675e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,3.788131286621094,0.004107118403701665,5,0.0,0.0,5,0.8262776500000001,0.0028021462409296796,5
arrival_low,ours,Ours,400.0,0.0,5,409.44395628294046,50.94401992065547,5,1241.1181238202423,71.27943408044213,5,3368.4770215440453,237.47456542218487,5,4609.663313838765,358.904086430601,5,6.254271144395323,0.2569211490046477,5,1170.2181931310963,63.77831244283567,5,0.414,0.0225559466629904,5,0.488,0.022534576741884783,5,1515.2195,234.51099633979877,5,0.6669639320373537,0.12943313336522985,5,0.0,0.0,5,0.9094956785000001,0.007165520823209831,5
arrival_low,static_threshold,Static-threshold,400.0,0.0,5,1294.3461300964618,127.74523105986118,5,2921.251678188685,152.2855628130316,5,7063.350963010319,243.02232543512235,5,8008.40895059834,492.5216238842373,5,12.315446517590086,0.11793959604219989,5,87.322,0.9223649842123877,5,0.0,0.0,5,0.0,0.0,5,1164.7559999999999,70.52048459947784,5,2.316368277587891,0.0726896564925721,5,0.0,0.0,5,0.8658436989999998,0.004264715066581994,5
arrival_medium,cloud_only,Cloud-only,400.0,0.0,5,917.6239945485719,110.77337948930449,5,2061.0859599698665,116.66338460601607,5,4565.337699701058,148.75366957870838,5,4970.638651207702,219.85429401571253,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
arrival_medium,edge_only,Edge-only,400.0,0.0,5,4543.9377623599075,2483.3171693501213,5,6454.758720489301,2478.900244023901,5,10814.750654634076,3063.9585704159826,5,12738.282831898308,2642.5510013209264,5,14.705882352941178,3.8202776601146675e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,3.788131286621094,0.004107118403701665,5,0.0,0.0,5,0.8262776500000001,0.0028021462409296796,5
arrival_medium,ours,Ours,400.0,0.0,5,422.3492908587382,46.93315187647142,5,1258.4515081431932,62.61371119803663,5,3356.451642930059,176.77853987188394,5,4630.086371154046,324.1455199430505,5,6.297890286967607,0.3254527972193494,5,1169.8681931310962,63.86319679919672,5,0.414,0.0225559466629904,5,0.487,0.02535169577807349,5,1507.1364999999998,247.04566315394493,5,0.6933104095458985,0.17006524110129873,5,0.0,0.0,5,0.9077226885,0.00826297625436248,5
arrival_medium,static_threshold,Static-threshold,400.0,0.0,5,2808.0699409392487,1307.865607704208,5,4434.975489031472,1311.6595058351227,5,9857.060787386243,2743.2273743727733,5,12141.630498317452,2738.7233352653616,5,12.315446517590086,0.11793959604219989,5,87.322,0.9223649842123877,5,0.0,0.0,5,0.0,0.0,5,1164.7559999999999,70.52048459947784,5,2.316368277587891,0.0726896564925721,5,0.0,0.0,5,0.8658436989999998,0.004264715066581994,5
