model_label,model_scale_b,strategy,strategy_label,request_count,request_count_ci95,request_count_seed_n,mean_ttft_ms,mean_ttft_ms_ci95,mean_ttft_ms_seed_n,mean_e2e_ms,mean_e2e_ms_ci95,mean_e2e_ms_seed_n,p95_e2e_ms,p95_e2e_ms_ci95,p95_e2e_ms_seed_n,p99_e2e_ms,p99_e2e_ms_ci95,p99_e2e_ms_seed_n,mean_tpot_ms,mean_tpot_ms_ci95,mean_tpot_ms_seed_n,mean_throughput_tps,mean_throughput_tps_ci95,mean_throughput_tps_seed_n,cache_hit_ratio,cache_hit_ratio_ci95,cache_hit_ratio_seed_n,prefix_hit_ratio,prefix_hit_ratio_ci95,prefix_hit_ratio_seed_n,mean_bandwidth_bytes,mean_bandwidth_bytes_ci95,mean_bandwidth_bytes_seed_n,mean_vram_peak_gb,mean_vram_peak_gb_ci95,mean_vram_peak_gb_seed_n,privacy_exposure_rate,privacy_exposure_rate_ci95,privacy_exposure_rate_seed_n,mean_quality,mean_quality_ci95,mean_quality_seed_n
Gemma-2-2B,2.0,cloud_only,Cloud-only,400.0,0.0,5,918.7715369784855,110.05106699257915,5,2063.0794741295067,115.5581276326904,5,4606.795523614853,154.36962533241294,5,4980.194274735541,170.87096464946947,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
Gemma-2-2B,2.0,edge_only,Edge-only,400.0,0.0,5,13164.703736617865,4046.7317064629115,5,15523.994895578886,4031.38540870942,5,24569.699244580734,7849.595344333361,5,28035.993041842303,8049.51411910284,5,18.181818181818183,0.0,5,55.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,2.515407623291016,0.0038137528034373194,5,0.0,0.0,5,0.80627765,0.002802146240929649,5
Gemma-2-2B,2.0,ours,Ours,400.0,0.0,5,442.8437882701402,49.05437019273884,5,1275.5647080488113,70.77398388362396,5,3467.8133153481986,210.37907825931757,5,4568.0387854705,325.164788069066,5,6.263017878246709,0.43830655307204847,5,1170.416863158834,63.81612993226888,5,0.414,0.0225559466629904,5,0.4880000000000001,0.02535169577807349,5,1590.2949999999996,243.29841692425842,5,0.2859688348388672,0.10743743037309224,5,0.0,0.0,5,0.9213497734999999,0.008939547374936652,5
Gemma-2-2B,2.0,static_threshold,Static-threshold,400.0,0.0,5,7286.096723900114,2116.943471503453,5,9193.677098610744,2119.099529270233,5,23382.992713212978,7482.896752162134,5,26450.84257516648,8310.711634538395,5,14.415408320493066,0.17877685050615594,5,79.44399999999999,1.160261759784949,5,0.0,0.0,5,0.0,0.0,5,1165.7189999999998,69.51956492065621,5,1.5433749253845215,0.04828139184207669,5,0.0,0.0,5,0.85392265,0.004679025776692235,5
Llama-3.2-1B,1.0,cloud_only,Cloud-only,400.0,0.0,5,917.9902880407859,110.011674959577,5,2061.318992560644,115.15642603608786,5,4604.153163501883,172.06036462762228,5,4927.840446525025,172.28825451864265,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
Llama-3.2-1B,1.0,edge_only,Edge-only,400.0,0.0,5,1791.9669811958508,485.2836292178002,5,3149.68470769166,485.70258046658626,5,6349.6543566776845,757.2123424677487,5,7393.26047642848,936.8813380282322,5,10.41666666666667,0.0,5,96.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,1.691789306640625,0.002346924802115288,5,0.0,0.0,5,0.70697455,0.004330589645073064,5
Llama-3.2-1B,1.0,ours,Ours,400.0,0.0,5,433.5699963914147,51.87618022374373,5,1208.602464236689,76.93095551907214,5,3447.354700963755,251.71716321065168,5,4674.90478789576,321.2941220842128,5,5.7645392807609985,0.20474287957804072,5,1169.085520699396,61.654466632033746,5,0.414,0.0225559466629904,5,0.48450000000000004,0.0243829742327589,5,1207.5695,219.47985992613823,5,0.5311950738525391,0.065100786095169,5,0.0,0.0,5,0.8210972280000002,0.012929706732367742,5
Llama-3.2-1B,1.0,static_threshold,Static-threshold,400.0,0.0,5,1369.7035693539412,308.8536164496882,5,2640.6713039965302,314.9026209909144,5,5981.868768532133,587.2180898736784,5,7135.873299674978,748.7501306806821,5,9.66313559322034,0.03576719396700536,5,104.53600000000002,0.4051707732582338,5,0.0,0.0,5,0.0,0.0,5,1165.7189999999998,69.51956492065621,5,1.0378030310058595,0.03235693330145791,5,0.0,0.0,5,0.79239355,0.007597913433498997,5
Qwen2.5-0.5B,0.5,cloud_only,Cloud-only,400.0,0.0,5,917.5996239471903,110.14796605249552,5,2061.078587959807,114.60018492084805,5,4588.437456019326,144.62829664403154,5,4955.929571037432,199.11435979262387,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
Qwen2.5-0.5B,0.5,edge_only,Edge-only,400.0,0.0,5,1096.3627813864082,192.43437687943288,5,2143.195480312466,195.03285696857088,5,4682.952338451474,318.74091089540354,5,5281.176571686956,473.06850169523784,5,8.0,0.0,5,125.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,1.4263419799804689,0.0017601936015864937,5,0.0,0.0,5,0.7218584000000001,0.004075849077715852,5
Qwen2.5-0.5B,0.5,ours,Ours,400.0,0.0,5,404.34832160256116,50.664068926782164,5,1064.9672318385092,75.38704987731607,5,3222.0041332380497,156.5016838940572,5,4495.660587899631,512.6582056703454,5,4.895651280552869,0.1615975910121254,5,1181.2559779118,64.703638806027,5,0.414,0.0225559466629904,5,0.4845,0.024968717633642026,5,593.222,91.75509239872807,5,0.7671251509094239,0.06880427519979647,5,0.0,0.0,5,0.7487921710000001,0.01976964563821069,5
Qwen2.5-0.5B,0.5,static_threshold,Static-threshold,400.0,0.0,5,971.5541974662026,150.16869216102032,5,2044.9751972911502,153.42511834997612,5,4555.453526610274,201.8714060933712,5,5129.988615476316,398.0392919543062,5,8.184135593220338,0.008740201580300271,5,122.28400000000002,0.12891797330943536,5,0.0,0.0,5,0.0,0.0,5,1165.7189999999998,69.51956492065621,5,0.8747422732543944,0.027164864539512914,5,0.0,0.0,5,0.8016284,0.007141216717712125,5
Qwen2.5-3B,3.0,cloud_only,Cloud-only,400.0,0.0,5,919.4019124904504,108.67549219141905,5,2064.8652994365975,112.56526458102991,5,4603.911423731879,146.46463289324564,5,4947.923404245057,222.24164161295116,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
Qwen2.5-3B,3.0,edge_only,Edge-only,400.0,0.0,5,16016.675697678109,4111.183526841017,5,18511.22813978898,4095.159423995819,5,29621.80406202079,8483.517763283575,5,33195.59489949191,8474.35145014928,5,19.23076923076923,2.2056383354463166e-15,5,52.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,2.848131286621093,0.004107118403701772,5,0.0,0.0,5,0.7565099500000001,0.0033116273756441193,5
Qwen2.5-3B,3.0,ours,Ours,400.0,0.0,5,449.7664681570094,50.9635195533341,5,1286.322217208679,77.66696814307348,5,3577.944675444236,207.19554320707988,5,4557.134538029915,257.3445403800634,5,6.281229877199259,0.396165582909275,5,1168.6803591682724,62.62157916663765,5,0.414,0.0225559466629904,5,0.4885,0.024104756780489924,5,1599.3259999999998,234.65105703090893,5,0.2970904472351074,0.09445723201446103,5,0.0,0.0,5,0.918927232,0.007757882831197506,5
Qwen2.5-3B,3.0,static_threshold,Static-threshold,400.0,0.0,5,8763.003108036693,2146.953922659966,5,10755.503782991118,2152.3851925090125,5,28218.852306740813,7945.127599356953,5,31560.88088733929,8513.62667823167,5,15.057366362451106,0.19809522812495323,5,77.608,1.2155123197747064,5,0.0,0.0,5,0.0,0.0,5,1165.7189999999998,69.51956492065621,5,1.7473053042602538,0.05455563369526185,5,0.0,0.0,5,0.8232129499999999,0.00595054276291371,5
TinyLlama-1.1B,1.1,cloud_only,Cloud-only,400.0,0.0,5,917.8840712064518,109.1755644103735,5,2061.4521117771537,114.43678402190888,5,4597.949039716375,147.01720580308435,5,4956.026337209782,154.1742550858616,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
TinyLlama-1.1B,1.1,edge_only,Edge-only,400.0,0.0,5,1308.5116609242057,266.9934499303476,5,2495.92460652592,268.86665962570555,5,5307.64444137019,434.2026465910709,5,6051.133100733014,633.5318081554033,5,9.090909090909092,0.0,5,110.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,1.5649801483154298,0.0016135108014542745,5,0.0,0.0,5,0.6672068499999999,0.004840070779787669,5
TinyLlama-1.1B,1.1,ours,Ours,400.0,0.0,5,421.2982616709552,50.58886621020236,5,1150.9837840750963,78.64580116874436,5,3416.1690525638382,193.0355016279091,5,4742.150130230293,437.3288365751811,5,5.406227219936072,0.19612517513028024,5,1172.3569660179571,63.79384981634137,5,0.414,0.0225559466629904,5,0.4835,0.026846946455295975,5,975.5815,149.44148668687208,5,0.6444768880844116,0.05217026049386058,5,0.0,0.0,5,0.7510077359999999,0.012828066496581688,5
TinyLlama-1.1B,1.1,static_threshold,Static-threshold,400.0,0.0,5,1095.993166705614,193.3864306568608,5,2257.6971776735345,198.2521915382993,5,5086.9282756279,301.93386138125345,5,5792.438755412879,450.43016076165435,5,8.851771956856703,0.011350911143247409,5,113.104,0.14733482663935807,5,0.0,0.0,5,0.0,0.0,5,1165.7189999999998,69.51956492065621,5,0.9594370838165283,0.029639183893044273,5,0.0,0.0,5,0.7678038500000001,0.008690767887726752,5
