worker_label,strategy,strategy_label,request_count,request_count_ci95,request_count_seed_n,mean_ttft_ms,mean_ttft_ms_ci95,mean_ttft_ms_seed_n,mean_e2e_ms,mean_e2e_ms_ci95,mean_e2e_ms_seed_n,p95_e2e_ms,p95_e2e_ms_ci95,p95_e2e_ms_seed_n,p99_e2e_ms,p99_e2e_ms_ci95,p99_e2e_ms_seed_n,mean_tpot_ms,mean_tpot_ms_ci95,mean_tpot_ms_seed_n,mean_throughput_tps,mean_throughput_tps_ci95,mean_throughput_tps_seed_n,cache_hit_ratio,cache_hit_ratio_ci95,cache_hit_ratio_seed_n,prefix_hit_ratio,prefix_hit_ratio_ci95,prefix_hit_ratio_seed_n,mean_bandwidth_bytes,mean_bandwidth_bytes_ci95,mean_bandwidth_bytes_seed_n,mean_vram_peak_gb,mean_vram_peak_gb_ci95,mean_vram_peak_gb_seed_n,privacy_exposure_rate,privacy_exposure_rate_ci95,privacy_exposure_rate_seed_n,mean_quality,mean_quality_ci95,mean_quality_seed_n
workers_12,cloud_only,Cloud-only,400.0,0.0,5,861.2619690052385,101.9470181796255,5,2006.616998534172,111.29925260816101,5,4533.2533186002665,145.87943082657796,5,4909.730926535325,174.58859124934796,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
workers_12,edge_only,Edge-only,400.0,0.0,5,4541.680093719515,2477.904034636452,5,6452.567509852506,2470.6249112863816,5,10829.203738186354,3057.499972554578,5,12635.16833618808,2502.3916165127857,5,14.705882352941178,3.8202776601146675e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,3.788131286621094,0.004107118403701665,5,0.0,0.0,5,0.8262776500000001,0.0028021462409296796,5
workers_12,ours,Ours,400.0,0.0,5,413.5008036507735,49.014863809296116,5,1245.573946111394,67.97103627249112,5,3347.548564489936,170.7501099242045,5,4548.147869211729,321.34872831876794,5,6.260739109568694,0.3059992178401766,5,1167.8013040761969,63.23402323126846,5,0.414,0.0225559466629904,5,0.4875,0.02531365870372051,5,1513.911,245.9740776326292,5,0.6707160148620608,0.15585540126825878,5,0.0,0.0,5,0.9091814935,0.006974298991588925,5
workers_12,static_threshold,Static-threshold,400.0,0.0,5,2795.604553646681,1309.832264113273,5,4420.213477349047,1315.1129800689528,5,9942.291209327872,2918.6001080903698,5,12187.869381310724,2802.540159881577,5,12.315446517590086,0.11793959604219989,5,87.322,0.9223649842123877,5,0.0,0.0,5,0.0,0.0,5,1164.7559999999999,70.52048459947784,5,2.316368277587891,0.0726896564925721,5,0.0,0.0,5,0.8658436989999998,0.004264715066581994,5
workers_4,cloud_only,Cloud-only,400.0,0.0,5,1747.7786161557137,520.3189645561436,5,2893.133645684647,520.4929210753652,5,5668.581176484355,853.5634141211049,5,6708.8912500772985,1071.4543785489775,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
workers_4,edge_only,Edge-only,400.0,0.0,5,4541.680093719515,2477.904034636452,5,6452.567509852506,2470.6249112863816,5,10829.203738186354,3057.499972554578,5,12635.16833618808,2502.3916165127857,5,14.705882352941178,3.8202776601146675e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,3.788131286621094,0.004107118403701665,5,0.0,0.0,5,0.8262776500000001,0.0028021462409296796,5
workers_4,ours,Ours,400.0,0.0,5,466.52911849517125,54.52230658940448,5,1322.0943415381164,66.81985326237948,5,3517.715154606341,146.35177268855523,5,4729.727248778742,466.04645904757615,5,6.478834822430109,0.31797532555009206,5,1166.0513040761969,63.41683611250946,5,0.414,0.0225559466629904,5,0.4795,0.025160935386949915,5,1470.606,255.1412637240252,5,0.8025965232849123,0.16393883927058345,5,0.0,0.0,5,0.9014528384999998,0.007056827510801087,5
workers_4,static_threshold,Static-threshold,400.0,0.0,5,2859.0591847583114,1311.2475492280819,5,4483.668108460677,1315.8209384579834,5,9942.291209327872,2918.6001080903698,5,12187.869381310724,2802.540159881577,5,12.315446517590086,0.11793959604219989,5,87.322,0.9223649842123877,5,0.0,0.0,5,0.0,0.0,5,1164.7559999999999,70.52048459947784,5,2.316368277587891,0.0726896564925721,5,0.0,0.0,5,0.8658436989999998,0.004264715066581994,5
workers_8,cloud_only,Cloud-only,400.0,0.0,5,920.1038004531613,111.03878854685824,5,2065.4588299820944,117.62465058012825,5,4604.317491888085,141.06391298208695,5,4978.617085746048,209.25940206687446,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
workers_8,edge_only,Edge-only,400.0,0.0,5,4541.680093719515,2477.904034636452,5,6452.567509852506,2470.6249112863816,5,10829.203738186354,3057.499972554578,5,12635.16833618808,2502.3916165127857,5,14.705882352941178,3.8202776601146675e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,3.788131286621094,0.004107118403701665,5,0.0,0.0,5,0.8262776500000001,0.0028021462409296796,5
workers_8,ours,Ours,400.0,0.0,5,422.18818337466234,47.86237762224885,5,1257.9152951243625,64.77161206268873,5,3359.228848916048,161.788597128265,5,4593.104119496968,327.19889339389727,5,6.298126946059222,0.3256944339557706,5,1167.501304076197,63.2820252654639,5,0.414,0.0225559466629904,5,0.487,0.02535169577807349,5,1507.1364999999998,247.04566315394493,5,0.6933104095458985,0.17006524110129873,5,0.0,0.0,5,0.9077226885,0.00826297625436248,5
workers_8,static_threshold,Static-threshold,400.0,0.0,5,2804.249341671475,1309.6430165522513,5,4428.858265373842,1314.833543829839,5,9942.291209327872,2918.6001080903698,5,12187.869381310724,2802.540159881577,5,12.315446517590086,0.11793959604219989,5,87.322,0.9223649842123877,5,0.0,0.0,5,0.0,0.0,5,1164.7559999999999,70.52048459947784,5,2.316368277587891,0.0726896564925721,5,0.0,0.0,5,0.8658436989999998,0.004264715066581994,5
